book_id,title,authors,original_publication_year,average_rating,work_ratings_count,work_text_reviews_count,rating,deviation
10,Pride and Prejudice,Jane Austen,1813.0,4.24,2191465,49152,4.1869840089252515,-0.05301599107474875
29,Romeo and Juliet,"William Shakespeare, Robert           Jackson",1595.0,3.73,1672889,14778,3.713076524442909,-0.01692347555709084
58,The Adventures of Huckleberry Finn,"Mark Twain, John Seelye, Guy Cardwell",1884.0,3.8,1001491,12448,3.8263434516786443,0.02634345167864449
76,Sense and Sensibility,"Jane Austen, Tony Tanner, Ros Ballaster",1811.0,4.06,779382,11526,3.9860759493670885,-0.07392405063291108
79,The Odyssey,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",-720.0,3.73,710757,8101,3.71655292810665,-0.013447071893350149
83,A Tale of Two Cities,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",1859.0,3.81,677713,13093,3.7824635922330097,-0.0275364077669904
116,The Adventures of Tom Sawyer,"Mark Twain, Guy Cardwell, John Seelye",1876.0,3.89,594226,7165,3.8543110618242307,-0.03568893817576946
125,Hamlet,"William Shakespeare, Richard Andrews, Rex Gibson",1600.0,4.0,576894,8889,4.00304391940861,0.0030439194086095966
138,The Scarlet Letter,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",1850.0,3.37,559246,11428,3.3282900743445936,-0.04170992565540654
154,Macbeth,William Shakespeare,1606.0,3.88,524826,7609,3.898458184083476,0.018458184083476326
160,Great Expectations,Charles Dickens,1860.0,3.75,507187,12311,3.6761300555114986,-0.07386994448850137
171,Emma,"Jane Austen, Fiona Stafford",1815.0,3.99,497949,11724,3.9221706533380933,-0.06782934666190688
172,Anna Karenina,"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude",1877.0,4.02,472796,18064,3.9339641237926277,-0.08603587620737185
194,"Moby-Dick or, The Whale","Herman Melville, Andrew Delbanco, Tom Quirk",1851.0,3.46,397963,11223,3.436539414972732,-0.023460585027268
204,A Christmas Carol,Charles Dickens,1843.0,4.02,441396,11568,3.9704354774270874,-0.04956452257291222
213,The Metamorphosis,"Franz Kafka, Stanley Corngold",1915.0,3.78,414533,10252,3.676226753304952,-0.10377324669504784
230,Persuasion,"Jane Austen, James Kinsley, Deidre Shauna Lynch",1817.0,4.13,402359,13117,4.042349087505849,-0.08765091249415047
248,A Midsummer Night's Dream,"William Shakespeare, Barbara A. Mowat, Paul Werstine, Catherine Belsey",1595.0,3.94,361510,5724,3.9232339730502246,-0.01676602694977536
